timestamp,male,female,unknown,total
2020-03-18 09:55:00 EDT,186,127,1,314
2020-03-18 17:08:00 EDT,192,133,3,328
2020-03-19 09:54:00 EDT,228,161,1,390
2020-03-19 16:53:00 EDT,253,178,1,432
2020-03-20 09:55:00 EDT,307,210,3,520
2020-03-20 17:40:00 EDT,334,225,4,563
2020-03-21 10:08:00 EDT,383,267,8,658
2020-03-21 17:31:00 EDT,448,311,4,763
2020-03-22 09:51:00 EDT,479,344,7,830
2020-03-22 18:28:00 EDT,571,426,10,1007
